tconst,parentTconst,seasonNumber,episodeNumber,numVotes,showRating,showVotes,titleType,primaryTitle,averageRating,startYear,endYear,runtimeMinutes,genres,numSeasons,showVariance
tt0701288,tt0096697,12,18,1797,8.7,350598,tvSeries,The Simpsons,8.6,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701133,tt0096697,12,19,1176,8.7,350598,tvSeries,The Simpsons,7.2,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0765966,tt0096697,12,20,1101,8.7,350598,tvSeries,The Simpsons,7.2,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701284,tt0096697,13,1,1374,8.7,350598,tvSeries,The Simpsons,7.5,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701116,tt0096697,13,3,1125,8.7,350598,tvSeries,The Simpsons,7.1,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701206,tt0096697,13,6,1186,8.7,350598,tvSeries,The Simpsons,7.1,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701074,tt0096697,13,7,1065,8.7,350598,tvSeries,The Simpsons,6.8,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0701141,tt0096697,13,9,1101,8.7,350598,tvSeries,The Simpsons,7.2,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701225,tt0096697,13,11,1034,8.7,350598,tvSeries,The Simpsons,7,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0763038,tt0096697,13,14,1060,8.7,350598,tvSeries,The Simpsons,7.2,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0763028,tt0096697,13,15,1099,8.7,350598,tvSeries,The Simpsons,7,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701167,tt0096697,13,20,1015,8.7,350598,tvSeries,The Simpsons,7.1,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0701238,tt0096697,13,21,1051,8.7,350598,tvSeries,The Simpsons,7,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0763041,tt0096697,14,1,1284,8.7,350598,tvSeries,The Simpsons,7.6,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701106,tt0096697,14,5,1047,8.7,350598,tvSeries,The Simpsons,6.7,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701240,tt0096697,14,6,1096,8.7,350598,tvSeries,The Simpsons,7.2,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701216,tt0096697,14,7,1057,8.7,350598,tvSeries,The Simpsons,7.1,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701233,tt0096697,14,8,1058,8.7,350598,tvSeries,The Simpsons,7.3,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0701067,tt0096697,14,11,1086,8.7,350598,tvSeries,The Simpsons,6.6,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701046,tt0096697,14,13,1018,8.7,350598,tvSeries,The Simpsons,6.9,1989,\N,22,"Animation,Comedy",31,0.148393195
tt0701193,tt0096697,14,19,969,8.7,350598,tvSeries,The Simpsons,6.7,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701073,tt0096697,14,20,935,8.7,350598,tvSeries,The Simpsons,6.7,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701179,tt0096697,14,22,1202,8.7,350598,tvSeries,The Simpsons,7.7,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701285,tt0096697,15,1,1281,8.7,350598,tvSeries,The Simpsons,7.5,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0763032,tt0096697,15,9,1060,8.7,350598,tvSeries,The Simpsons,7.2,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0784540,tt0096697,15,11,980,8.7,350598,tvSeries,The Simpsons,7.1,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701268,tt0096697,15,16,1013,8.7,350598,tvSeries,The Simpsons,7,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701209,tt0096697,15,19,1053,8.7,350598,tvSeries,The Simpsons,7.3,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0763027,tt0096697,15,21,1027,8.7,350598,tvSeries,The Simpsons,6.2,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701286,tt0096697,16,1,1158,8.7,350598,tvSeries,The Simpsons,7.4,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0784541,tt0096697,16,6,941,8.7,350598,tvSeries,The Simpsons,7.1,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0763036,tt0096697,16,7,899,8.7,350598,tvSeries,The Simpsons,6.8,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0701198,tt0096697,16,9,999,8.7,350598,tvSeries,The Simpsons,6.5,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701100,tt0096697,16,12,980,8.7,350598,tvSeries,The Simpsons,6.9,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0763035,tt0096697,16,13,912,8.7,350598,tvSeries,The Simpsons,6.7,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0701099,tt0096697,16,15,1037,8.7,350598,tvSeries,The Simpsons,7.2,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701047,tt0096697,16,18,925,8.7,350598,tvSeries,The Simpsons,6.6,1989,\N,22,"Animation,Comedy",31,0.148393195
tt0701224,tt0096697,16,19,966,8.7,350598,tvSeries,The Simpsons,7.2,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701236,tt0096697,16,21,1041,8.7,350598,tvSeries,The Simpsons,7.2,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0701287,tt0096697,17,4,1108,8.7,350598,tvSeries,The Simpsons,7.3,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0784542,tt0096697,17,6,924,8.7,350598,tvSeries,The Simpsons,6.8,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0701248,tt0096697,17,7,935,8.7,350598,tvSeries,The Simpsons,6.6,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701244,tt0096697,17,8,1136,8.7,350598,tvSeries,The Simpsons,7,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0782576,tt0096697,17,9,937,8.7,350598,tvSeries,The Simpsons,6.8,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0758509,tt0096697,17,11,906,8.7,350598,tvSeries,The Simpsons,6.9,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0776642,tt0096697,17,13,1107,8.7,350598,tvSeries,The Simpsons,7.6,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701111,tt0096697,17,15,1253,8.7,350598,tvSeries,The Simpsons,6.4,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0800706,tt0096697,17,20,940,8.7,350598,tvSeries,The Simpsons,6.6,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0800707,tt0096697,17,21,996,8.7,350598,tvSeries,The Simpsons,7,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0858309,tt0096697,18,2,1075,8.7,350598,tvSeries,The Simpsons,6.6,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0831240,tt0096697,18,4,1197,8.7,350598,tvSeries,The Simpsons,6.8,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0905908,tt0096697,18,8,969,8.7,350598,tvSeries,The Simpsons,7.1,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0918024,tt0096697,18,10,995,8.7,350598,tvSeries,The Simpsons,6.5,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0918865,tt0096697,18,12,1058,8.7,350598,tvSeries,The Simpsons,6.7,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0918868,tt0096697,18,13,1026,8.7,350598,tvSeries,The Simpsons,7.2,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0918867,tt0096697,18,15,977,8.7,350598,tvSeries,The Simpsons,6.1,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0988495,tt0096697,18,17,1092,8.7,350598,tvSeries,The Simpsons,7.2,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0918869,tt0096697,18,20,928,8.7,350598,tvSeries,The Simpsons,6.7,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0907538,tt0096697,18,21,1748,8.7,350598,tvSeries,The Simpsons,8.1,1989,\N,22,"Animation,Comedy",31,0.642793387
tt1023430,tt0096697,18,22,1082,8.7,350598,tvSeries,The Simpsons,7.1,1989,\N,22,"Animation,Comedy",31,0.148393195
tt1103799,tt0096697,19,2,1049,8.7,350598,tvSeries,The Simpsons,6.5,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1111719,tt0096697,19,4,971,8.7,350598,tvSeries,The Simpsons,6.7,1989,\N,22,"Animation,Comedy",31,0.413088156
tt1137310,tt0096697,19,6,920,8.7,350598,tvSeries,The Simpsons,6.5,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0992614,tt0096697,19,7,1083,8.7,350598,tvSeries,The Simpsons,6.9,1989,\N,22,"Animation,Comedy",31,0.642793387
tt1157300,tt0096697,19,10,967,8.7,350598,tvSeries,The Simpsons,6.8,1989,\N,22,"Animation,Comedy",31,0.413088156
tt1166961,tt0096697,19,11,1515,8.7,350598,tvSeries,The Simpsons,6.1,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1178426,tt0096697,19,12,996,8.7,350598,tvSeries,The Simpsons,6.5,1989,\N,22,"Animation,Comedy",31,0.413088156
tt1291168,tt0096697,20,4,1184,8.7,350598,tvSeries,The Simpsons,7,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1291169,tt0096697,20,5,947,8.7,350598,tvSeries,The Simpsons,6.5,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1291171,tt0096697,20,7,1112,8.7,350598,tvSeries,The Simpsons,7,1989,\N,22,"Animation,Comedy",31,0.642793387
tt1291155,tt0096697,20,10,907,8.7,350598,tvSeries,The Simpsons,6.9,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1291156,tt0096697,20,11,912,8.7,350598,tvSeries,The Simpsons,6.9,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1291158,tt0096697,20,13,1042,8.7,350598,tvSeries,The Simpsons,7.1,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1291160,tt0096697,20,15,866,8.7,350598,tvSeries,The Simpsons,6.6,1989,\N,22,"Animation,Comedy",31,0.642793387
tt1291164,tt0096697,20,19,987,8.7,350598,tvSeries,The Simpsons,7,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1291166,tt0096697,20,21,1025,8.7,350598,tvSeries,The Simpsons,7.2,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1519210,tt0096697,21,2,945,8.7,350598,tvSeries,The Simpsons,6.5,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1528000,tt0096697,21,4,1070,8.7,350598,tvSeries,The Simpsons,7.3,1989,\N,22,"Animation,Comedy",31,0.413088156
tt1535905,tt0096697,21,5,847,8.7,350598,tvSeries,The Simpsons,6.6,1989,\N,22,"Animation,Comedy",31,0.642793387
tt1572482,tt0096697,21,10,839,8.7,350598,tvSeries,The Simpsons,6.4,1989,\N,22,"Animation,Comedy",31,0.642793387
tt1589903,tt0096697,21,11,833,8.7,350598,tvSeries,The Simpsons,6.9,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1607507,tt0096697,21,15,872,8.7,350598,tvSeries,The Simpsons,6.9,1989,\N,22,"Animation,Comedy",31,0.642793387
tt1614895,tt0096697,21,16,1051,8.7,350598,tvSeries,The Simpsons,5.6,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1619577,tt0096697,21,17,779,8.7,350598,tvSeries,The Simpsons,6.5,1989,\N,22,"Animation,Comedy",31,0.148393195
tt1633108,tt0096697,21,20,850,8.7,350598,tvSeries,The Simpsons,7,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1628659,tt0096697,22,2,791,8.7,350598,tvSeries,The Simpsons,6.7,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1628665,tt0096697,22,6,768,8.7,350598,tvSeries,The Simpsons,6.2,1989,\N,22,"Animation,Comedy",31,0.642793387
tt1628667,tt0096697,22,8,854,8.7,350598,tvSeries,The Simpsons,6.7,1989,\N,22,"Animation,Comedy",31,0.642793387
tt1628652,tt0096697,22,13,753,8.7,350598,tvSeries,The Simpsons,6.7,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1628653,tt0096697,22,14,900,8.7,350598,tvSeries,The Simpsons,7.1,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1628654,tt0096697,22,15,801,8.7,350598,tvSeries,The Simpsons,6.6,1989,\N,22,"Animation,Comedy",31,0.374464532
tt1628655,tt0096697,22,16,769,8.7,350598,tvSeries,The Simpsons,5.9,1989,\N,22,"Animation,Comedy",31,0.374464532
